COD_NODE,COD_SUPPLIER,isPotential,pPriceOriginal,pLocationCost,pStationCapacity,pStationUnitCapacity,pCostUnitCapacity
100,VIVA,0,1.61,0.0,0,0,0
1002,VIVA,0,1.73,0.0,0,0,0
1025,VIVA,0,1.55,0.0,0,0,0
1026,VIVA,0,1.48,0.0,0,0,0
1028,VIVA,0,1.52,0.0,0,0,0
1029,VIVA,0,1.45,0.0,0,0,0
1033,VIVA,0,1.76,0.0,0,0,0
1035,VIVA,0,1.45,0.0,0,0,0
1037,VIVA,0,1.52,0.0,0,0,0
1047,VIVA,0,1.74,0.0,0,0,0
108,VIVA,0,1.7,0.0,0,0,0
1101,VIVA,0,1.64,0.0,0,0,0
1112,VIVA,0,1.72,0.0,0,0,0
1124,VIVA,0,1.43,0.0,0,0,0
1137,VIVA,0,1.76,0.0,0,0,0
1148,VIVA,0,1.41,0.0,0,0,0
1159,VIVA,0,1.72,0.0,0,0,0
1186,VIVA,0,1.52,0.0,0,0,0
1221,VIVA,0,1.59,0.0,0,0,0
1225,VIVA,0,1.72,0.0,0,0,0
1231,VIVA,0,1.8,0.0,0,0,0
1236,VIVA,0,1.6,0.0,0,0,0
1245,VIVA,0,1.69,0.0,0,0,0
125,VIVA,0,1.43,0.0,0,0,0
127,VIVA,0,1.67,0.0,0,0,0
1273,VIVA,0,1.51,0.0,0,0,0
1285,VIVA,0,1.65,0.0,0,0,0
1289,VIVA,0,1.61,0.0,0,0,0
1300,VIVA,0,1.46,0.0,0,0,0
1303,VIVA,0,1.71,0.0,0,0,0
1316,VIVA,0,1.61,0.0,0,0,0
1323,VIVA,0,1.42,0.0,0,0,0
1365,VIVA,0,1.7,0.0,0,0,0
1368,VIVA,0,1.54,0.0,0,0,0
1384,VIVA,0,1.65,0.0,0,0,0
1397,VIVA,0,1.4,0.0,0,0,0
1401,VIVA,0,1.5,0.0,0,0,0
1404,VIVA,0,1.64,0.0,0,0,0
141,VIVA,0,1.41,0.0,0,0,0
1410,VIVA,0,1.52,0.0,0,0,0
1415,VIVA,0,1.45,0.0,0,0,0
1421,VIVA,0,1.46,0.0,0,0,0
1429,VIVA,0,1.69,0.0,0,0,0
1430,VIVA,0,1.8,0.0,0,0,0
1432,VIVA,0,1.51,0.0,0,0,0
1434,VIVA,0,1.45,0.0,0,0,0
1442,VIVA,0,1.59,0.0,0,0,0
1451,VIVA,0,1.56,0.0,0,0,0
1452,VIVA,0,1.52,0.0,0,0,0
1460,VIVA,0,1.43,0.0,0,0,0
1462,VIVA,0,1.79,0.0,0,0,0
1463,VIVA,0,1.72,0.0,0,0,0
1474,VIVA,0,1.71,0.0,0,0,0
1489,VIVA,0,1.72,0.0,0,0,0
1490,VIVA,0,1.75,0.0,0,0,0
1491,VIVA,0,1.5,0.0,0,0,0
1496,VIVA,0,1.54,0.0,0,0,0
1498,VIVA,0,1.61,0.0,0,0,0
15,VIVA,0,1.42,0.0,0,0,0
1502,VIVA,0,1.6,0.0,0,0,0
1504,VIVA,0,1.53,0.0,0,0,0
1508,VIVA,0,1.48,0.0,0,0,0
1526,VIVA,0,1.65,0.0,0,0,0
1539,VIVA,0,1.48,0.0,0,0,0
1548,VIVA,0,1.52,0.0,0,0,0
1554,VIVA,0,1.5,0.0,0,0,0
1556,VIVA,0,1.71,0.0,0,0,0
1576,VIVA,0,1.58,0.0,0,0,0
1591,VIVA,0,1.66,0.0,0,0,0
1596,VIVA,0,1.72,0.0,0,0,0
1599,VIVA,0,1.69,0.0,0,0,0
1600,VIVA,0,1.5,0.0,0,0,0
1614,VIVA,0,1.55,0.0,0,0,0
1624,VIVA,0,1.76,0.0,0,0,0
1625,VIVA,0,1.42,0.0,0,0,0
1636,VIVA,0,1.55,0.0,0,0,0
1658,VIVA,0,1.41,0.0,0,0,0
1666,VIVA,0,1.41,0.0,0,0,0
1671,VIVA,0,1.78,0.0,0,0,0
1672,VIVA,0,1.69,0.0,0,0,0
1677,VIVA,0,1.72,0.0,0,0,0
1749,VIVA,0,1.74,0.0,0,0,0
1802,VIVA,0,1.62,0.0,0,0,0
1837,VIVA,0,1.67,0.0,0,0,0
186,VIVA,0,1.78,0.0,0,0,0
19,VIVA,0,1.46,0.0,0,0,0
1913,VIVA,0,1.59,0.0,0,0,0
1967,VIVA,0,1.41,0.0,0,0,0
1977,VIVA,0,1.5,0.0,0,0,0
1978,VIVA,0,1.73,0.0,0,0,0
1979,VIVA,0,1.55,0.0,0,0,0
20,VIVA,0,1.61,0.0,0,0,0
2115,VIVA,0,1.65,0.0,0,0,0
