COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles
0.42LKM-600L,1,600,1,1
0.55LKM-800L,1,800,1,1
0.42LKM-600L,10,600,1,1
0.55LKM-800L,10,800,1,1
0.42LKM-600L,11,600,1,1
0.55LKM-800L,11,800,1,1
0.42LKM-600L,12,600,1,1
0.55LKM-800L,12,800,1,1
0.42LKM-600L,13,600,1,1
0.55LKM-800L,13,800,1,1
0.42LKM-600L,14,600,1,1
0.55LKM-800L,14,800,1,1
0.42LKM-600L,15,600,1,1
0.55LKM-800L,15,800,1,1
0.42LKM-600L,16,600,1,1
0.55LKM-800L,16,800,1,1
0.42LKM-600L,17,600,1,1
0.55LKM-800L,17,800,1,1
0.42LKM-600L,18,600,1,1
0.55LKM-800L,18,800,1,1
0.42LKM-600L,19,600,1,1
0.55LKM-800L,19,800,1,1
0.42LKM-600L,2,600,1,1
0.55LKM-800L,2,800,1,1
0.42LKM-600L,20,600,1,1
0.55LKM-800L,20,800,1,1
0.42LKM-600L,21,600,1,1
0.55LKM-800L,21,800,1,1
0.42LKM-600L,22,600,1,1
0.55LKM-800L,22,800,1,1
0.42LKM-600L,23,600,1,1
0.55LKM-800L,23,800,1,1
0.42LKM-600L,24,600,1,1
0.55LKM-800L,24,800,1,1
0.42LKM-600L,25,600,1,1
0.55LKM-800L,25,800,1,1
0.42LKM-600L,26,600,1,1
0.55LKM-800L,26,800,1,1
0.42LKM-600L,27,600,1,1
0.55LKM-800L,27,800,1,1
0.42LKM-600L,28,600,1,1
0.55LKM-800L,28,800,1,1
0.42LKM-600L,29,600,1,1
0.55LKM-800L,29,800,1,1
0.42LKM-600L,3,600,1,1
0.55LKM-800L,3,800,1,1
0.42LKM-600L,30,600,1,1
0.55LKM-800L,30,800,1,1
0.42LKM-600L,31,600,1,1
0.55LKM-800L,31,800,1,1
0.42LKM-600L,32,600,1,1
0.55LKM-800L,32,800,1,1
0.42LKM-600L,33,600,1,1
0.55LKM-800L,33,800,1,1
0.42LKM-600L,34,600,1,1
0.55LKM-800L,34,800,1,1
0.42LKM-600L,35,600,1,1
0.55LKM-800L,35,800,1,1
0.42LKM-600L,36,600,1,1
0.55LKM-800L,36,800,1,1
0.42LKM-600L,37,600,1,1
0.55LKM-800L,37,800,1,1
0.42LKM-600L,38,600,1,1
0.55LKM-800L,38,800,1,1
0.42LKM-600L,39,600,1,1
0.55LKM-800L,39,800,1,1
0.42LKM-600L,4,600,1,1
0.55LKM-800L,4,800,1,1
0.42LKM-600L,40,600,1,1
0.55LKM-800L,40,800,1,1
0.42LKM-600L,41,600,1,1
0.55LKM-800L,41,800,1,1
0.42LKM-600L,42,600,1,1
0.55LKM-800L,42,800,1,1
0.42LKM-600L,43,600,1,1
0.55LKM-800L,43,800,1,1
0.42LKM-600L,44,600,1,1
0.55LKM-800L,44,800,1,1
0.42LKM-600L,45,600,1,1
0.55LKM-800L,45,800,1,1
0.42LKM-600L,46,600,1,1
0.55LKM-800L,46,800,1,1
0.42LKM-600L,47,600,1,1
0.55LKM-800L,47,800,1,1
0.42LKM-600L,48,600,1,1
0.55LKM-800L,48,800,1,1
0.42LKM-600L,49,600,1,1
0.55LKM-800L,49,800,1,1
0.42LKM-600L,5,600,1,1
0.55LKM-800L,5,800,1,1
0.42LKM-600L,50,600,1,1
0.55LKM-800L,50,800,1,1
0.42LKM-600L,6,600,1,1
0.55LKM-800L,6,800,1,1
0.42LKM-600L,7,600,1,1
0.55LKM-800L,7,800,1,1
0.42LKM-600L,8,600,1,1
0.55LKM-800L,8,800,1,1
0.42LKM-600L,9,600,1,1
0.55LKM-800L,9,800,1,1
