COD_NODE1,COD_NODE2,COD_PATH,pDistance
GEN-7773,7773,1,0.0
7773,OWN-7773,1,0.0
OWN-7773,1186,1,6.682500000000029
1186,4696,1,1.4215000000000102
4696,5730,1,0.14549999999993302
5730,A533,1,0.0310000000000024
A533,7652,1,0.050000000000054
7652,A404,1,0.135500000000022
A404,5683,1,65.12899999999989
5683,B055,1,13.602
B055,X049,1,0.5325000000000271
X049,1124,1,0.452500000000029
1124,2279,1,3.76849999999997
2279,X007,1,1.9965
X007,7319,1,0.52200000000002
7319,X037,1,0.444499999999948
X037,5477,1,19.0915
5477,7795,1,18.1265
7795,2183,1,10.9834999999999
2183,2802,1,52.9205
2802,X175,1,28.8575
X175,5549,1,13.783
5549,X041,1,45.292
X041,7495,1,23.836
7495,6396,1,38.921
6396,B782,1,28.811
B782,7653,1,0.48599999999999
7653,7367,1,43.5545
7367,A640,1,26.4205
A640,2143,1,2.7950000000000204
2143,B997,1,2.49399999999997
B997,2231,1,4.43150000000003
2231,1231,1,5.735999999999991
1231,7689,1,40.6495
7689,1002,1,23.3445
1002,A402,1,6.04349999999999
A402,A649,1,18.747000000000103
A649,7808,1,26.0715
7808,B715,1,0.566499999999905
B715,2221,1,8.44949999999994
2221,2226,1,1.6405000000002
2226,A429,1,0.570499999999811
A429,A432,1,0.615000000000009
A432,935,1,1.97600000000011
935,A427,1,0.5809999999999039
A427,2204,1,0.7540000000001329
2204,A074,1,1.12950000000001
A074,A425,1,0.5234999999998989
A425,944,1,3.0819999999999905
944,2267,1,0.70150000000001
2267,9547,1,0.62399999999991
9547,A084,1,1.54350000000011
A084,2241,1,2.33249999999998
2241,A296,1,0.0024999999999408802
A296,830,1,0.0815000000001191
830,976,1,0.850999999999999
976,A712,1,2.10400000000004
A712,986,1,1.3179999999998702
986,7676,1,0.301000000000045
7676,759,1,0.41599999999994003
759,A563,1,1.4629999999999699
A563,2887,1,4.71650000000011
2887,A566,1,0.640500000000088
A566,1033,1,1.28699999999981
1033,817,1,1.55000000000018
817,767,1,0.8429999999998471
767,2404,1,1.27150000000006
2404,5567,1,0.8524999999999641
5567,A117,1,0.12200000000007101
A117,966,1,0.7699999999999821
966,2260,1,0.246499999999969
2260,4756,1,0.672500000000014
4756,837,1,17.9109999999999
837,9508,1,1.5565000000001399
9508,A045,1,0.40799999999990205
A045,A268,1,13.8755
A268,7469,1,15.1255
7469,A799,1,4.50649999999996
A799,5759,1,0.8520000000000891
5759,B498,1,3.86699999999996
