COD_VEHICLE,COD_PATH,Start Inventory,Target Inventory,pQuantityVehicles
0.42LKM-600L,1,600,1,15
0.55LKM-800L,1,800,1,9
0.58LKM-1000L,1,1000,1,13
0.65LKM-1200L,1,1200,1,7
0.546LKM-600L,1,600,1,3
0.42LKM-600L,10,600,1,11
0.55LKM-800L,10,800,1,14
0.58LKM-1000L,10,1000,1,3
0.65LKM-1200L,10,1200,1,31
0.546LKM-600L,10,600,1,6
0.42LKM-600L,100,600,1,1
0.55LKM-800L,100,800,1,3
0.58LKM-1000L,100,1000,1,5
0.65LKM-1200L,100,1200,1,3
0.546LKM-600L,100,600,1,1
0.42LKM-600L,11,600,1,4
0.55LKM-800L,11,800,1,8
0.58LKM-1000L,11,1000,1,2
0.65LKM-1200L,11,1200,1,10
0.546LKM-600L,11,600,1,5
0.42LKM-600L,12,600,1,3
0.55LKM-800L,12,800,1,2
0.58LKM-1000L,12,1000,1,4
0.65LKM-1200L,12,1200,1,9
0.546LKM-600L,12,600,1,4
0.42LKM-600L,13,600,1,2
0.55LKM-800L,13,800,1,2
0.58LKM-1000L,13,1000,1,3
0.65LKM-1200L,13,1200,1,4
0.546LKM-600L,13,600,1,1
0.42LKM-600L,14,600,1,6
0.55LKM-800L,14,800,1,4
0.58LKM-1000L,14,1000,1,1
0.65LKM-1200L,14,1200,1,3
0.546LKM-600L,14,600,1,1
0.42LKM-600L,15,600,1,1
0.55LKM-800L,15,800,1,4
0.58LKM-1000L,15,1000,1,1
0.65LKM-1200L,15,1200,1,7
0.546LKM-600L,15,600,1,4
0.42LKM-600L,16,600,1,11
0.55LKM-800L,16,800,1,5
0.58LKM-1000L,16,1000,1,14
0.65LKM-1200L,16,1200,1,16
0.546LKM-600L,16,600,1,1
0.42LKM-600L,17,600,1,2
0.55LKM-800L,17,800,1,10
0.58LKM-1000L,17,1000,1,22
0.65LKM-1200L,17,1200,1,30
0.546LKM-600L,17,600,1,1
0.42LKM-600L,18,600,1,2
0.55LKM-800L,18,800,1,5
0.58LKM-1000L,18,1000,1,13
0.65LKM-1200L,18,1200,1,5
0.546LKM-600L,18,600,1,2
0.42LKM-600L,19,600,1,3
0.55LKM-800L,19,800,1,4
0.58LKM-1000L,19,1000,1,1
0.65LKM-1200L,19,1200,1,4
0.546LKM-600L,19,600,1,1
0.42LKM-600L,2,600,1,15
0.55LKM-800L,2,800,1,9
0.58LKM-1000L,2,1000,1,19
0.65LKM-1200L,2,1200,1,17
0.546LKM-600L,2,600,1,9
0.42LKM-600L,20,600,1,17
0.55LKM-800L,20,800,1,11
0.58LKM-1000L,20,1000,1,8
0.65LKM-1200L,20,1200,1,33
0.546LKM-600L,20,600,1,3
0.42LKM-600L,21,600,1,3
0.55LKM-800L,21,800,1,7
0.58LKM-1000L,21,1000,1,14
0.65LKM-1200L,21,1200,1,5
0.42LKM-600L,22,600,1,13
0.55LKM-800L,22,800,1,9
0.58LKM-1000L,22,1000,1,6
0.65LKM-1200L,22,1200,1,4
0.546LKM-600L,22,600,1,1
0.42LKM-600L,23,600,1,8
0.55LKM-800L,23,800,1,4
0.58LKM-1000L,23,1000,1,4
0.65LKM-1200L,23,1200,1,3
0.546LKM-600L,23,600,1,2
0.42LKM-600L,24,600,1,7
0.55LKM-800L,24,800,1,6
0.58LKM-1000L,24,1000,1,1
0.65LKM-1200L,24,1200,1,3
0.546LKM-600L,24,600,1,6
0.42LKM-600L,25,600,1,6
0.55LKM-800L,25,800,1,10
0.58LKM-1000L,25,1000,1,9
0.65LKM-1200L,25,1200,1,2
0.546LKM-600L,25,600,1,7
0.42LKM-600L,26,600,1,12
0.55LKM-800L,26,800,1,4
0.58LKM-1000L,26,1000,1,27
0.65LKM-1200L,26,1200,1,9
0.546LKM-600L,26,600,1,1
0.42LKM-600L,27,600,1,6
0.55LKM-800L,27,800,1,3
0.58LKM-1000L,27,1000,1,4
0.65LKM-1200L,27,1200,1,3
0.546LKM-600L,27,600,1,1
0.42LKM-600L,28,600,1,1
0.55LKM-800L,28,800,1,3
0.58LKM-1000L,28,1000,1,2
0.65LKM-1200L,28,1200,1,1
0.546LKM-600L,28,600,1,6
0.42LKM-600L,29,600,1,5
0.55LKM-800L,29,800,1,7
0.58LKM-1000L,29,1000,1,4
0.65LKM-1200L,29,1200,1,3
0.546LKM-600L,29,600,1,4
0.42LKM-600L,3,600,1,3
0.55LKM-800L,3,800,1,6
0.58LKM-1000L,3,1000,1,4
0.65LKM-1200L,3,1200,1,2
0.546LKM-600L,3,600,1,4
0.42LKM-600L,30,600,1,2
0.55LKM-800L,30,800,1,5
0.58LKM-1000L,30,1000,1,2
0.65LKM-1200L,30,1200,1,1
0.546LKM-600L,30,600,1,1
0.42LKM-600L,31,600,1,2
0.55LKM-800L,31,800,1,1
0.58LKM-1000L,31,1000,1,3
0.65LKM-1200L,31,1200,1,1
0.546LKM-600L,31,600,1,3
0.42LKM-600L,32,600,1,4
0.55LKM-800L,32,800,1,4
0.58LKM-1000L,32,1000,1,3
0.65LKM-1200L,32,1200,1,14
0.546LKM-600L,32,600,1,6
0.42LKM-600L,33,600,1,7
0.55LKM-800L,33,800,1,2
0.58LKM-1000L,33,1000,1,2
0.65LKM-1200L,33,1200,1,2
0.546LKM-600L,33,600,1,4
0.42LKM-600L,34,600,1,4
0.55LKM-800L,34,800,1,12
0.58LKM-1000L,34,1000,1,27
0.65LKM-1200L,34,1200,1,1
0.546LKM-600L,34,600,1,3
0.42LKM-600L,35,600,1,15
0.55LKM-800L,35,800,1,11
0.58LKM-1000L,35,1000,1,22
0.65LKM-1200L,35,1200,1,3
0.546LKM-600L,35,600,1,8
0.42LKM-600L,36,600,1,1
0.55LKM-800L,36,800,1,10
0.58LKM-1000L,36,1000,1,10
0.65LKM-1200L,36,1200,1,12
0.546LKM-600L,36,600,1,3
0.42LKM-600L,37,600,1,7
0.55LKM-800L,37,800,1,5
0.58LKM-1000L,37,1000,1,1
0.65LKM-1200L,37,1200,1,4
0.546LKM-600L,37,600,1,5
0.42LKM-600L,38,600,1,12
0.55LKM-800L,38,800,1,10
0.58LKM-1000L,38,1000,1,8
0.65LKM-1200L,38,1200,1,12
0.546LKM-600L,38,600,1,7
0.42LKM-600L,39,600,1,17
0.55LKM-800L,39,800,1,11
0.58LKM-1000L,39,1000,1,8
0.65LKM-1200L,39,1200,1,34
0.546LKM-600L,39,600,1,1
0.42LKM-600L,4,600,1,6
0.55LKM-800L,4,800,1,1
0.58LKM-1000L,4,1000,1,1
0.65LKM-1200L,4,1200,1,7
0.546LKM-600L,4,600,1,2
0.42LKM-600L,40,600,1,5
0.55LKM-800L,40,800,1,5
0.58LKM-1000L,40,1000,1,1
0.65LKM-1200L,40,1200,1,10
0.546LKM-600L,40,600,1,1
0.42LKM-600L,41,600,1,1
0.55LKM-800L,41,800,1,5
0.58LKM-1000L,41,1000,1,1
0.65LKM-1200L,41,1200,1,1
0.42LKM-600L,42,600,1,5
0.55LKM-800L,42,800,1,2
0.58LKM-1000L,42,1000,1,2
0.65LKM-1200L,42,1200,1,1
0.546LKM-600L,42,600,1,4
0.42LKM-600L,43,600,1,6
0.55LKM-800L,43,800,1,3
0.58LKM-1000L,43,1000,1,1
0.65LKM-1200L,43,1200,1,4
0.546LKM-600L,43,600,1,1
0.42LKM-600L,44,600,1,9
0.55LKM-800L,44,800,1,2
0.58LKM-1000L,44,1000,1,8
0.65LKM-1200L,44,1200,1,7
0.546LKM-600L,44,600,1,1
0.42LKM-600L,45,600,1,1
0.55LKM-800L,45,800,1,1
0.58LKM-1000L,45,1000,1,3
