COD_NODE1,COD_PATH,pOriginPath,pDestinationPath,pDistanceOOP,pFirstStation,PathLength
GEN-970,1,1,0,,0,3069.759
970,1,0,0,0.0,1,3069.759
OWN-970,1,0,0,0.0,0,3069.759
7750,1,0,0,0.354,0,3069.759
1029,1,0,0,0.0580000000000007,0,3069.759
A320,1,0,0,0.634500000000001,0,3069.759
7256,1,0,0,0.203,0,3069.759
A205,1,0,0,1.3255,0,3069.759
965,1,0,0,0.0,0,3069.759
OWN-965,1,0,0,0.0,0,3069.759
965-1,1,0,0,0.0,0,3069.759
OWN-965-1,1,0,0,0.0,0,3069.759
A205-1,1,0,0,0.395000000000039,0,3069.759
964,1,0,0,0.273500000000013,0,3069.759
A388,1,0,0,0.322500000000048,0,3069.759
A392,1,0,0,0.518000000000029,0,3069.759
2266,1,0,0,0.672500000000014,0,3069.759
2210,1,0,0,0.34500000000002695,0,3069.759
A005,1,0,0,0.778999999999996,0,3069.759
7903,1,0,0,0.7785000000000079,0,3069.759
A107,1,0,0,0.30400000000003,0,3069.759
5782,1,0,0,0.14050000000003102,0,3069.759
9569,1,0,0,11.485999999999999,0,3069.759
2260,1,0,0,1.44549999999998,0,3069.759
767,1,0,0,0.348500000000058,0,3069.759
A117,1,0,0,1.0085000000000302,0,3069.759
5567,1,0,0,0.8865000000000121,0,3069.759
2404,1,0,0,0.01,0,3069.759
817,1,0,0,1.09600000000006,0,3069.759
966,1,0,0,1.59449999999998,0,3069.759
920,1,0,0,0.761000000000024,0,3069.759
3510,1,0,0,0.41350000000005604,0,3069.759
OWN-3510,1,0,0,0.41350000000005604,0,3069.759
7202,1,0,0,0.129000000000019,0,3069.759
A399,1,0,0,0.730500000000063,0,3069.759
8491,1,0,0,0.41900000000004,0,3069.759
A157,1,0,0,0.01,0,3069.759
6951,1,0,0,0.90850000000006,0,3069.759
810,1,0,0,0.01,0,3069.759
2216,1,0,0,0.01,0,3069.759
A426,1,0,0,0.266500000000065,0,3069.759
5720,1,0,0,0.0625000000000568,0,3069.759
7678,1,0,0,0.9155000000000091,0,3069.759
2806,1,0,0,1.90300000000002,0,3069.759
2246,1,0,0,0.7930000000000059,0,3069.759
